Property Code,2022 Indoor Comp price,2023 Indoor Comp price,Total Units (2022Jul) (Indoor Parking),Occupied (2022Jul) (Indoor Parking),Percentage% (2022Jul) (Indoor Parking),New Lease (2022Jul) (Indoor Parking),Ending Lease (2022Jul) (Indoor Parking),Market Price (2022Jul) (Indoor Parking),Current Price (2022Jul) (Indoor Parking),Lease_Turnover_Rate% (2022Jul) (Indoor Parking),Ending_Lease_Rate% (2022Jul) (Indoor Parking),Total Units (2022Aug) (Indoor Parking),Occupied (2022Aug) (Indoor Parking),Percentage% (2022Aug) (Indoor Parking),New Lease (2022Aug) (Indoor Parking),Ending Lease (2022Aug) (Indoor Parking),Market Price (2022Aug) (Indoor Parking),Current Price (2022Aug) (Indoor Parking),Lease_Turnover_Rate% (2022Aug) (Indoor Parking),Ending_Lease_Rate% (2022Aug) (Indoor Parking),Total Units (2022Sep) (Indoor Parking),Occupied (2022Sep) (Indoor Parking),Percentage% (2022Sep) (Indoor Parking),New Lease (2022Sep) (Indoor Parking),Ending Lease (2022Sep) (Indoor Parking),Market Price (2022Sep) (Indoor Parking),Current Price (2022Sep) (Indoor Parking),Lease_Turnover_Rate% (2022Sep) (Indoor Parking),Ending_Lease_Rate% (2022Sep) (Indoor Parking),Total Units (2022Oct) (Indoor Parking),Occupied (2022Oct) (Indoor Parking),Percentage% (2022Oct) (Indoor Parking),New Lease (2022Oct) (Indoor Parking),Ending Lease (2022Oct) (Indoor Parking),Market Price (2022Oct) (Indoor Parking),Current Price (2022Oct) (Indoor Parking),Lease_Turnover_Rate% (2022Oct) (Indoor Parking),Ending_Lease_Rate% (2022Oct) (Indoor Parking),Total Units (2022Dec) (Indoor Parking),Occupied (2022Dec) (Indoor Parking),Percentage% (2022Dec) (Indoor Parking),New Lease (2022Dec) (Indoor Parking),Ending Lease (2022Dec) (Indoor Parking),Market Price (2022Dec) (Indoor Parking),Current Price (2022Dec) (Indoor Parking),Lease_Turnover_Rate% (2022Dec) (Indoor Parking),Ending_Lease_Rate% (2022Dec) (Indoor Parking),Total Units (2023Apr) (Indoor Parking),Occupied (2023Apr) (Indoor Parking),Percentage% (2023Apr) (Indoor Parking),New Lease (2023Apr) (Indoor Parking),Ending Lease (2023Apr) (Indoor Parking),Market Price (2023Apr) (Indoor Parking),Current Price (2023Apr) (Indoor Parking),Lease_Turnover_Rate% (2023Apr) (Indoor Parking),Ending_Lease_Rate% (2023Apr) (Indoor Parking),Total Units (2023May) (Indoor Parking),Occupied (2023May) (Indoor Parking),Percentage% (2023May) (Indoor Parking),New Lease (2023May) (Indoor Parking),Ending Lease (2023May) (Indoor Parking),Market Price (2023May) (Indoor Parking),Current Price (2023May) (Indoor Parking),Lease_Turnover_Rate% (2023May) (Indoor Parking),Ending_Lease_Rate% (2023May) (Indoor Parking)
y31201,82.5,83.75,48.0,28.0,58.33,2.0,0.0,75.0,75.0,0.0,156.25,48.0,25.0,52.08,2.0,23.0,75.0,75.0,47.92,156.25,48.0,24.0,50.0,0.0,25.0,75.0,75.0,52.08,156.25,48.0,25.0,52.08,0.0,38.0,75.0,75.0,79.17,156.25,48.0,26.0,54.17,1.0,25.0,75.0,75.0,52.08,156.25,48.0,27.0,56.25,0.0,24.0,75.0,75.0,50.0,156.25,48.0,26.0,54.17,0.0,24.0,75.0,78.33333333333333,50.0,156.25
y31202,82.5,83.75,31.0,31.0,100.0,1.0,3.0,85.0,84.33333333333333,9.68,274.19,31.0,31.0,100.0,0.0,4.0,85.0,84.33333333333333,12.9,274.19,31.0,31.0,100.0,0.0,4.0,85.0,84.28571428571429,12.9,274.19,31.0,31.0,100.0,1.0,17.0,85.0,85.17241379310344,54.84,274.19,31.0,31.0,100.0,2.0,2.0,85.0,110.0,6.45,274.19,31.0,30.0,96.77,0.0,4.0,85.0,110.0,12.9,274.19,31.0,30.0,96.77,0.0,3.0,85.0,110.0,9.68,274.19
y31251,93.75,125.0,82.0,55.0,67.07,1.0,3.0,110.0,109.63636363636364,3.66,134.15,82.0,48.0,58.54,0.0,40.0,110.0,109.58333333333333,48.78,134.15,82.0,51.0,62.2,0.0,38.0,110.0,109.6078431372549,46.34,134.15,82.0,51.0,62.2,0.0,57.0,110.0,109.6078431372549,69.51,134.15,82.0,55.0,67.07,2.0,32.0,110.0,109.63636363636364,39.02,134.15,82.0,61.0,74.39,0.0,29.0,110.0,110.0,35.37,134.15,82.0,59.0,71.95,2.0,31.0,110.0,110.0,37.8,134.15
y31300,117.5,121.25,233.0,172.0,73.82,8.0,7.0,135.0,134.46428571428572,3.0,57.94,233.0,168.0,72.1,4.0,76.0,135.0,134.44099378881987,32.62,57.94,233.0,166.0,71.24,6.0,80.0,135.0,134.4512195121951,34.33,57.94,233.0,170.0,72.96,2.0,158.0,135.0,134.45454545454547,67.81,57.94,233.0,169.0,72.53,3.0,85.0,135.0,133.9090909090909,36.48,57.94,239.0,173.0,72.38,3.0,92.0,135.0,136.40350877192984,38.49,56.49,239.0,165.0,69.04,2.0,90.0,135.0,136.0493827160494,37.66,56.49
y31600,0.0,0.0,172.0,143.0,83.14,1.0,4.0,75.0,64.96212121212122,2.33,43.6,173.0,144.0,83.24,2.0,35.0,75.0,65.6015037593985,20.23,43.35,173.0,140.0,80.92,5.0,39.0,75.0,65.45801526717557,22.54,43.35,173.0,143.0,82.66,7.0,40.0,75.0,65.67164179104478,23.12,43.35,175.0,143.0,81.71,3.0,137.0,75.0,65.67164179104478,78.29,42.86,176.0,136.0,77.27,3.0,52.0,75.0,67.4015748031496,29.55,42.61,176.0,140.0,79.55,5.0,53.0,75.0,67.59541984732824,30.11,42.61
y31602,0.0,96.66666666666669,151.0,125.0,82.78,6.0,0.0,75.0,73.44,0.0,49.67,152.0,122.0,80.26,2.0,31.0,75.0,73.43442622950819,20.39,49.34,152.0,121.0,79.61,0.0,71.0,75.0,73.42148760330579,46.71,49.34,152.0,136.0,89.47,8.0,75.0,75.0,73.58518518518518,49.34,49.34,147.0,132.0,89.8,3.0,41.0,75.0,73.51937984496124,27.89,51.02,147.0,139.0,94.56,0.0,31.0,75.0,73.60583941605839,21.09,51.02,147.0,139.0,94.56,4.0,15.0,75.0,73.60583941605839,10.2,51.02
y40210,78.75,77.5,92.0,87.0,94.57,9.0,18.0,95.0,98.27906976744185,19.57,103.26,91.0,83.0,91.21,4.0,22.0,95.0,98.39759036144578,24.18,104.4,91.0,87.0,95.6,1.0,13.0,95.0,113.183908045977,14.29,104.4,91.0,89.0,97.8,13.0,11.0,95.0,112.7752808988764,12.09,104.4,91.0,88.0,96.7,8.0,12.0,95.0,113.183908045977,13.19,104.4,91.0,87.0,95.6,2.0,25.0,95.0,113.61176470588235,27.47,104.4,93.0,86.0,92.47,3.0,32.0,95.0,113.02352941176471,34.41,102.15
y40230,0.0,71.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y40790,156.25,156.25,169.0,120.0,71.01,11.0,29.0,140.0,141.10091743119267,17.16,82.84,168.0,110.0,65.48,2.0,76.0,140.0,141.16504854368932,45.24,83.33,168.0,107.0,63.69,1.0,76.0,140.0,141.21212121212122,45.24,83.33,168.0,110.0,65.48,20.0,78.0,140.0,141.1764705882353,46.43,83.33,168.0,113.0,67.26,8.0,74.0,140.0,141.15384615384616,44.05,83.33,168.0,111.0,66.07,3.0,90.0,140.0,140.97087378640776,53.57,83.33,172.0,107.0,62.21,8.0,88.0,140.0,141.010101010101,51.16,81.4
y40910,0.0,38.66666666666666,382.0,163.0,42.67,12.0,42.0,75.0,75.0,10.99,19.63,382.0,155.0,40.58,0.0,259.0,75.0,75.0,67.8,19.63,382.0,165.0,43.19,2.0,235.0,75.0,75.0,61.52,19.63,382.0,175.0,45.81,9.0,224.0,75.0,75.0,58.64,19.63,382.0,189.0,49.48,21.0,224.0,75.0,75.0,58.64,19.63,382.0,199.0,52.09,1.0,241.0,75.0,75.0,63.09,19.63,382.0,187.0,48.95,15.0,234.0,75.0,75.0,61.26,19.63
