Property Code,2022 Outdoor Comp price,2023 Outdoor Comp price,Total Units (2022Jul) (Outdoor Parking),Occupied (2022Jul) (Outdoor Parking),Percentage% (2022Jul) (Outdoor Parking),New Lease (2022Jul) (Outdoor Parking),Ending Lease (2022Jul) (Outdoor Parking),Market Price (2022Jul) (Outdoor Parking),Current Price (2022Jul) (Outdoor Parking),Lease_Turnover_Rate% (2022Jul) (Outdoor Parking),Ending_Lease_Rate% (2022Jul) (Outdoor Parking),Total Units (2022Aug) (Outdoor Parking),Occupied (2022Aug) (Outdoor Parking),Percentage% (2022Aug) (Outdoor Parking),New Lease (2022Aug) (Outdoor Parking),Ending Lease (2022Aug) (Outdoor Parking),Market Price (2022Aug) (Outdoor Parking),Current Price (2022Aug) (Outdoor Parking),Lease_Turnover_Rate% (2022Aug) (Outdoor Parking),Ending_Lease_Rate% (2022Aug) (Outdoor Parking),Total Units (2022Sep) (Outdoor Parking),Occupied (2022Sep) (Outdoor Parking),Percentage% (2022Sep) (Outdoor Parking),New Lease (2022Sep) (Outdoor Parking),Ending Lease (2022Sep) (Outdoor Parking),Market Price (2022Sep) (Outdoor Parking),Current Price (2022Sep) (Outdoor Parking),Lease_Turnover_Rate% (2022Sep) (Outdoor Parking),Ending_Lease_Rate% (2022Sep) (Outdoor Parking),Total Units (2022Oct) (Outdoor Parking),Occupied (2022Oct) (Outdoor Parking),Percentage% (2022Oct) (Outdoor Parking),New Lease (2022Oct) (Outdoor Parking),Ending Lease (2022Oct) (Outdoor Parking),Market Price (2022Oct) (Outdoor Parking),Current Price (2022Oct) (Outdoor Parking),Lease_Turnover_Rate% (2022Oct) (Outdoor Parking),Ending_Lease_Rate% (2022Oct) (Outdoor Parking),Total Units (2022Dec) (Outdoor Parking),Occupied (2022Dec) (Outdoor Parking),Percentage% (2022Dec) (Outdoor Parking),New Lease (2022Dec) (Outdoor Parking),Ending Lease (2022Dec) (Outdoor Parking),Market Price (2022Dec) (Outdoor Parking),Current Price (2022Dec) (Outdoor Parking),Lease_Turnover_Rate% (2022Dec) (Outdoor Parking),Ending_Lease_Rate% (2022Dec) (Outdoor Parking),Total Units (2023Apr) (Outdoor Parking),Occupied (2023Apr) (Outdoor Parking),Percentage% (2023Apr) (Outdoor Parking),New Lease (2023Apr) (Outdoor Parking),Ending Lease (2023Apr) (Outdoor Parking),Market Price (2023Apr) (Outdoor Parking),Current Price (2023Apr) (Outdoor Parking),Lease_Turnover_Rate% (2023Apr) (Outdoor Parking),Ending_Lease_Rate% (2023Apr) (Outdoor Parking),Total Units (2023May) (Outdoor Parking),Occupied (2023May) (Outdoor Parking),Percentage% (2023May) (Outdoor Parking),New Lease (2023May) (Outdoor Parking),Ending Lease (2023May) (Outdoor Parking),Market Price (2023May) (Outdoor Parking),Current Price (2023May) (Outdoor Parking),Lease_Turnover_Rate% (2023May) (Outdoor Parking),Ending_Lease_Rate% (2023May) (Outdoor Parking),Total Units (2023Jun) (Outdoor Parking),Occupied (2023Jun) (Outdoor Parking),Percentage% (2023Jun) (Outdoor Parking),New Lease (2023Jun) (Outdoor Parking),Ending Lease (2023Jun) (Outdoor Parking),Market Price (2023Jun) (Outdoor Parking),Current Price (2023Jun) (Outdoor Parking),Lease_Turnover_Rate% (2023Jun) (Outdoor Parking),Ending_Lease_Rate% (2023Jun) (Outdoor Parking)
y31201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31251,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y40210,20.0,60.0,31.0,28.0,90.32,1.0,4.0,65.0,64.96296296296296,12.9,209.68,31.0,27.0,87.1,1.0,8.0,65.0,64.96153846153847,25.81,209.68,31.0,23.0,74.19,1.0,11.0,65.0,64.95652173913044,35.48,209.68,31.0,27.0,87.1,2.0,7.0,65.0,64.96153846153847,22.58,209.68,31.0,28.0,90.32,4.0,10.0,65.0,64.96296296296296,32.26,209.68,31.0,28.0,90.32,0.0,10.0,65.0,64.96296296296296,32.26,209.68,31.0,27.0,87.1,2.0,8.0,65.0,65.73076923076923,25.81,209.68,31.0,27.0,87.1,2.0,9.0,65.0,66.11538461538461,29.03,209.68
y40230,38.333333333333336,37.333333333333336,98.0,78.0,79.59,7.0,20.0,40.0,40.58441558441559,20.41,40.82,98.0,76.0,77.55,0.0,38.0,40.0,40.61643835616438,38.78,40.82,98.0,76.0,77.55,0.0,34.0,40.0,40.28169014084507,34.69,40.82,98.0,78.0,79.59,5.0,30.0,40.0,39.93150684931507,30.61,40.82,98.0,82.0,83.67,6.0,34.0,40.0,39.932432432432435,34.69,40.82,98.0,81.0,82.65,0.0,42.0,40.0,39.93150684931507,42.86,40.82,98.0,80.0,81.63,9.0,31.0,40.0,39.93150684931507,31.63,40.82,98.0,77.0,78.57,1.0,36.0,40.0,39.929577464788736,36.73,40.82
y40790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y40910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
