Property Code,2022 Outdoor Comp price,2023 Outdoor Comp price
y41580,15.0,37.5
y40210,20.0,60.0
y40230,38.333333333333336,37.333333333333336
y40940,0.0,80.0
y40960,0.0,40.0
y40911,0.0,57.5
y40910,0.0,0.0
y64170,0.0,0.0
y40790,0.0,0.0
y41590,0.0,0.0
y41491,0.0,58.333333333333336
y64180,0.0,0.0
y63135,75.0,75.0
y31201,0.0,0.0
y63060,0.0,0.0
y31202,0.0,0.0
y63130,0.0,75.0
y31251,67.5,0.0
y31600,0.0,0.0
y63075,0.0,0.0
y63070,0.0,0.0
y31300,0.0,0.0
y55265,0.0,0.0
y50121,72.5,0.0
y55270,0.0,82.5
y50670,0.0,0.0
y53620,65.0,120.0
y53630,0.0,85.0
y55275,30.0,90.0
y65225,35.0,83.33333333333333
y53600,70.0,80.0
y53650,0.0,90.0
y53590,62.5,0.0
y53660,78.33333333333333,0.0
y53580,78.33333333333333,0.0
y50131,0.0,0.0
y65160,0.0,0.0
y65165,0.0,0.0
y53000,73.33333333333333,0.0
y50680,0.0,0.0
y52950,0.0,0.0
y31602,,0.0
y53640,0.0,0.0
