Property Code,Province,Property,Occupied Units,Parking Revenue,Avg Parking Rev/Occupied Units,Occ%,Parking Revenue.1,Avg Parking Rev/Occupied Units.1,Occ%.1,Parking Revenue.2,Avg Parking Rev/Occupied Units.2,Occ%.2,Parking Revenue.3,Avg Parking Rev/Occupied Units.3,Occ%.3,Parking Revenue.4,Avg Parking Rev/Occupied Units.4,Occ%.4,Parking Revenue.5,Avg Parking Rev/Occupied Units.5,Occ%.5,Parking Revenue.6,Avg Parking Rev/Occupied Units.6,Occ%.6,Parking Revenue.7,Avg Parking Rev/Occupied Units.7,Unnamed: 27,Unnamed: 28,Garage/Indoor,Surface,Commercial,Occupied Parking Units,Occ %,Occupied Parking Indoor Feb,Surface feb,Occ% Feb,Occupied Parking Indoor Mar,Occupied Parking Surface Mar,Occ% Mar,Occupied Parking Indoor ,Surface ,Occ% ,Occupied Parking Indoor .1,Occupied Parking Surface ,Occ% .1,Occupied Parking Indoor .2,Occupied Parking Surface .1,Occ% .2,Occupied Parking Indoor .3,Occupied Parking Surface .2,Occ% .3,Occupied Parking Indoor .4,Occupied Parking Surface .3,Occ% .4,Occupied Parking Indoor .5,Occupied Parking Surface .4,Occ% .5,Occupied Parking Indoor .6,Occupied Parking Surface .5,Occ% .6,Occupied Parking Indoor .7,Occupied Parking Surface .6,Occ% .7,Occupied Parking Indoor .8,Occupied Parking Surface .7,Occ% .8,Avg Occ 2022,Garage/Indoor.1,Surface.1,Garage/Indoor.2,Surface.2,Garage/Indoor.3,Surface.3,Garage/Indoor.4,Surface.4,Garage/Indoor.5,Surface.5,Average Garage,Average Surface,Our Parking vs Comp Parking,Our Parking vs Comp Parking.1,Unnamed: 82,Remarks,Unnamed: 84,Garage/Indoor.6,Surface.6,Garage/Indoor.7,Surface.7,Garage/Indoor.8,Surface.8,Garage/Indoor.9,Surface.9,Garage/Indoor.10,Surface.10,Average Garage/Indoor Parking,Average Surface Parking,Remarks.1,Average Garage.1,Average Surface.1,Our Parking vs Comp Parking.2,Our Parking vs Comp Parking.3,Premium Parking Spots(Identify and update the parking spots numbers which could be priced higher than the other parking spots due to their location like closer to the elevator),Occupied Parking Indoor .9,Occupied Parking Surface .8,Occ% .9,Occupied Parking Indoor .10,Occupied Parking Surface .9,Occ% .10,Occupied Parking Indoor .11,EV,Occupied Parking Surface .10,Occ% .11,Unnamed: 113
y41580,AB,Glenmore Heights,233.387096774194,7365.96,31.56112785072558,234.0,7422.0,31.71794871794872,231.161290322581,7522.0,32.54005023723132,229.1,7601.0,33.17765168048887,233.645161290323,7641.0,32.703437802015685,232.466666666667,8066.0,34.697447662747294,228.032258064516,8396.0,36.81935210072148,228.129032258065,8311.0,36.431136877827974,,,208,120,0,115.0,0.35060975609756095,64.0,,0.1951219512195122,168.0,14.0,0.5548780487804879,155.0,15.0,0.5182926829268293,154.0,15.0,0.5152439024390244,111.0,52.0,0.4969512195121951,132.0,54.0,0.5670731707317073,124.0,56.0,0.5487804878048781,125.0,56.0,0.551829268292683,125.0,54.0,0.5457317073170732,127.0,50.0,0.5396341463414634,128.0,45.0,0.5274390243902439,0.47967479674796754,55.0,35.0,45.0,30.0,50.0,0.0,,,,,47.5,15.0,7.5,20.0,,,,55,35.0,45.0,30,30.0,45,30.0,,,,35.0,37.5,Comp 4 has street parking ,35.0,37.5,20.0,-2.5,,128.0,45.0,0.5274390243902439,128.0,45.0,0.5274390243902439,129.0,,42.0,0.5213414634146342,
y40210,AB,Royal View,175.838709677419,10367.0,58.9574390020181,175.428571428571,10107.0,57.613192182410565,173.096774193548,9662.0,55.818486768542805,170.733333333333,9651.67,56.53067161265142,170.354838709677,9398.72,55.171429653474846,172.533333333333,9656.0,55.965996908810006,173.903225806452,9805.2,56.38308291597094,175.612903225806,9904.38,56.398930933137535,,,90,31,0,102.0,0.8429752066115702,90.0,28.0,0.9752066115702479,88.0,29.0,0.9669421487603306,88.0,28.0,0.9586776859504132,88.0,28.0,0.9586776859504132,79.0,26.0,0.8677685950413223,86.0,28.0,0.9421487603305785,83.0,25.0,0.8925619834710744,83.0,25.0,0.8925619834710744,87.0,24.0,0.9173553719008265,87.0,25.0,0.9256198347107438,87.0,27.0,0.9421487603305785,0.9345730027548211,95.0,65.0,75.0,0.0,75.0,0.0,75.0,,90.0,60.0,78.75,20.0,16.25,45.0,,Occupied 25 above ground and 87 underground.Royal View and Fifteen 15 should be charging similar ,,95,65.0,70.0,45,90.0,40-70,75.0,,75,75,77.5,60.0,"(1)Chelsea estates, (2)skygate towers, (3)royal plaza, (4)dorsett square",77.5,60.0,17.5,5.0,,87.0,27.0,0.9421487603305785,87.0,27.0,0.9421487603305785,84.0,0.0,26.0,0.9090909090909091,
y40230,AB,Lakeview Mews,119.774193548387,2361.0,19.712092647454902,118.964285714286,2281.0,19.173821675172572,117.967741935484,2311.0,19.590101175827158,119.533333333333,2271.0,18.998884551031843,122.129032258065,2271.0,18.59508716323289,121.666666666667,2311.0,18.994520547945154,119.903225806452,2271.0,18.940274414850624,119.0,2191.0,18.41176470588235,,,0,122,0,74.0,0.6065573770491803,,75.0,0.6147540983606558,,48.0,0.39344262295081966,,73.0,0.5983606557377049,,73.0,0.5983606557377049,0.0,72.0,0.5901639344262295,0.0,78.0,0.639344262295082,,74.0,0.6065573770491803,,74.0,0.6065573770491803,,73.0,0.5983606557377049,,76.0,0.6229508196721312,,79.0,0.6475409836065574,0.5942622950819673,0.0,40.0,,40.0,,35.0,,40.0,,,0.0,38.333333333333336,0.0,1.6666666666666643,,,,0,40.0,40.0,15,40.0,15,135.0,82.0,,,71.66666666666667,37.333333333333336,(1) Lakeview estates (2)Lakeview Apartments (3) Mayfair Estates (4) Lincoln Terrace,71.66666666666667,37.333333333333336,-71.66666666666667,2.6666666666666643,,,79.0,0.6475409836065574,,79.0,0.6475409836065574,,,76.0,0.6229508196721312,
y40940,AB,The Mansions,48.0,3655.85,76.16354166666666,48.9285714285714,3645.0,74.49635036496355,47.0,3510.0,74.68085106382979,47.9333333333333,3325.0,69.36717663421423,47.2903225806452,3325.0,70.3103683492496,47.6333333333333,3230.84,67.82729181245632,50.4838709677419,4035.89,79.94414696485629,50.258064516129,3924.16,78.08020539152766,,,62,0,0,22.0,0.3548387096774194,33.0,,0.532258064516129,,,0.0,22.0,8.0,0.4838709677419355,22.0,8.0,0.4838709677419355,22.0,8.0,0.4838709677419355,22.0,8.0,0.4838709677419355,20.0,7.0,0.43548387096774194,20.0,7.0,0.43548387096774194,21.0,6.0,0.43548387096774194,21.0,6.0,0.43548387096774194,20.0,7.0,0.43548387096774194,0.4314516129032258,110.0,75.0,150.0,0.0,175.0,0.0,,,,,162.5,0.0,-52.5,75.0,,,,110,75.0,,,,85,,75.0,130,,130.0,80.0,"(1) Elbow Tower, (2) River Heights, (3) Westside Apartments (4)Stenley Park Place",130.0,80.0,-20.0,-5.0,,20.0,7.0,0.43548387096774194,20.0,7.0,0.43548387096774194,20.0,,6.0,0.41935483870967744,
y40960,AB,Rouleau,217.064516129032,22118.66,101.8990132263339,210.75,21110.58,100.16882562277581,209.612903225806,20812.7,99.29112034472166,210.266666666667,20788.21,98.86593214965107,209.774193548387,21871.53,104.2622528063971,210.433333333333,20365.68,96.77972437826722,211.548387096774,22793.34,107.74527904849049,214.161290322581,21563.19,100.68668323542684,,,251,0,0,232.0,0.9243027888446215,201.0,,0.8007968127490039,235.0,,0.9362549800796812,221.0,0.0,0.8804780876494024,211.0,0.0,0.8406374501992032,206.0,,0.8207171314741036,212.0,,0.8446215139442231,213.0,,0.848605577689243,213.0,,0.848605577689243,214.0,,0.852589641434263,217.0,,0.8645418326693227,222.0,,0.8844621513944223,0.851925630810093,110.0,0.0,150.0,0.0,175.0,0.0,,,,,162.5,0.0,-52.5,0.0,,,,110,0.0,150.0,,120.0,,90.0,40.0,175,,133.75,40.0,"(1) Portfolio, (2) Hull Estates, (3) Skygate Towers , (4) The Arch",133.75,40.0,-23.75,-40.0,,222.0,,0.8844621513944223,222.0,,0.8844621513944223,212.0,,,0.8446215139442231,
y40911,AB,Elata,121.129032258065,12370.21,102.12423701730984,119.821428571429,11813.59,98.59329955290576,122.161290322581,11710.0,95.85687879588036,122.733333333333,11627.47,94.73766974470422,122.354838709677,12748.3,104.19122066965498,125.733333333333,12075.18,96.03801696712645,123.806451612903,11585.0,93.57347576862966,121.0,11335.0,93.67768595041322,,,157,0,0,90.0,0.5732484076433121,69.0,,0.4394904458598726,,,0.0,78.0,0.0,0.4968152866242038,78.0,0.0,0.4968152866242038,70.0,,0.445859872611465,78.0,0.0,0.4968152866242038,81.0,,0.5159235668789809,78.0,,0.4968152866242038,77.0,,0.49044585987261147,80.0,,0.5095541401273885,86.0,,0.5477707006369427,0.4479830148619957,125.0,0.0,,0.0,,,,,,,0.0,0.0,125.0,0.0,,,,125,0.0,90.0,30,,85,,,,,90.0,57.5,"Underground-90,Indoor-60 for Comp 1",90.0,57.5,35.0,-57.5,,86.0,,0.5477707006369427,86.0,,0.5477707006369427,78.0,,,0.4968152866242038,
y40910,AB,Glenmore Gardens,304.258064516129,15656.67,51.45852099236642,303.285714285714,15262.45,50.32366933584555,303.806451612903,15310.25,50.394749416011926,303.066666666667,15021.25,49.5641772987241,303.612903225806,15541.25,51.18771249468771,299.7,15206.25,50.73823823823824,297.290322580645,15056.24,50.64490451388891,299.0,14817.74,49.55765886287625,,,442,0,0,223.0,0.504524886877828,204.0,,0.46153846153846156,,,0.0,165.0,0.0,0.3733031674208145,159.0,0.0,0.3597285067873303,141.0,,0.3190045248868778,163.0,0.0,0.36877828054298645,153.0,,0.34615384615384615,153.0,,0.34615384615384615,158.0,,0.3574660633484163,164.0,,0.37104072398190047,179.0,,0.40497737556561086,0.34747360482654605,75.0,0.0,,0.0,,,,,,,0.0,0.0,75.0,0.0,,,,75,0.0,1.0,,40.0,,,,75,,38.666666666666664,0.0,,38.666666666666664,0.0,36.333333333333336,0.0,,179.0,,0.40497737556561086,179.0,,0.40497737556561086,191.0,,,0.4321266968325792,
y64170,AB,Discovery Pointe,204.032258064516,16153.8,79.17277470355737,202.785714285714,16019.0,78.99471644945415,207.322580645161,15958.36,76.97357398475194,207.3,15798.14,76.20906898215146,209.516129032258,16368.79,78.12663433410319,208.433333333333,16130.56,77.38954102031038,209.129032258065,16338.38,78.1258337189571,202.032258064516,15052.61,74.50597317579441,,,365,0,0,178.0,0.4876712328767123,148.0,,0.4054794520547945,,,0.0,,134.0,0.36712328767123287,,134.0,0.36712328767123287,127.0,,0.34794520547945207,,,0.0,155.0,,0.4246575342465753,156.0,,0.4273972602739726,154.0,,0.42191780821917807,155.0,,0.4246575342465753,154.0,,0.42191780821917807,0.3344748858447489,100.0,0.0,100.0,0.0,120.0,,150.0,,,,123.33333333333333,0.0,-23.33333333333333,0.0,,Second vehicle $110,,100,0.0,125.0,0,135.0,0,150.0,0.0,,0,136.66666666666666,0.0,,136.66666666666666,0.0,-36.66666666666666,0.0,,154.0,,0.42191780821917807,154.0,,0.42191780821917807,166.0,,,0.4547945205479452,
y40790,AB,Fifteen15,153.41935483871,12850.0,83.7573591253152,157.535714285714,12987.0,82.43844933121757,160.258064516129,13970.0,87.17190016103062,159.3,13525.0,84.90269930947896,161.870967741935,12930.0,79.87843762455185,162.5,14135.0,86.98461538461538,166.677419354839,15397.44,92.37868008515564,169.806451612903,14674.19,86.41715235562322,,,168,0,0,115.0,0.6845238095238095,141.0,,0.8392857142857143,122.0,,0.7261904761904762,64.0,0.0,0.38095238095238093,64.0,0.0,0.38095238095238093,111.0,,0.6607142857142857,114.0,,0.6785714285714286,109.0,,0.6488095238095238,108.0,,0.6428571428571429,105.0,,0.625,108.0,,0.6428571428571429,110.0,,0.6547619047619048,0.6433531746031748,140.0,0.0,150.0,0.0,150.0,,150.0,,175.0,,156.25,0.0,-16.25,0.0,,,,140,0.0,150.0,0,150.0,0,150.0,0.0,175,0,156.25,0.0,,156.25,0.0,-16.25,0.0,,110.0,,0.6547619047619048,110.0,,0.6547619047619048,105.0,0.0,0.0,0.625,
y41590,AB,Park Square,131.0,8951.44,68.33160305343512,127.214285714286,10995.8,86.43526108927549,129.290322580645,9051.47,70.00887475049907,136.933333333333,8871.49,64.78692794547241,133.612903225806,9169.42,68.62675519072934,137.2,10028.02,73.09052478134112,144.0,10082.88,70.02,146.387096774194,9367.0,63.987880123402185,,,220,0,0,115.0,0.5227272727272727,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,90.0,0.0,,0.0,,,,,,,0.0,0.0,90.0,0.0,,,,90,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,90.0,0.0,,,,0.0,,,0.0,,,,0.0,
