Property Code,Province,Property,Occupied Units,Storage Rev,Avg Rev,Occupied Units.1,Storage Rev.1,Avg Rev.1,Occupied Units.2,Storage Rev.2,Avg Rev.2,Occupied Units.3,Storage Rev.3,Avg Rev.3,Occupied Units.4,Storage Rev.4,Avg Rev.4,Occupied Units.5,Storage Rev.5,Avg Rev.5,Occupied Units.6,Storage Rev.6,Avg Rev.6,Occupied Units.7,Storage Rev.7,Avg Rev.7,Storage Units Available,Occupied Units.8,Occ%,Avg Percentage of res Taking Storage,Current Storage Charge,Comp 1 Storage Charge,Comp 2 Storage Charge,Comp 3 Storage Charge,Comp 4 Storage Charge,Average Charge,Our Storage vs Comp Storage,Remarks,Occupied Units.9,Occupied Units.10,Occupied Units.11,Occupied Units.12,Occupied Units.13,Occupied Units.14,Occupied Units.15,Occupied Units.16,Unnamed: 47,Occupied Units.17,Current Storage Charge.1,Comp 1 Storage Charge.1,Comp 2 Storage Charge.1,Comp 3 Storage Charge.1,Comp 4 Storage Charge.1,Average Charge ,Our Storage vs Comp Storage.1,Remarks.1,Unnamed: 57,Current Storage Charge.2,Comp 1 Storage Charge.2,Comp 2 Storage Charge.2,Comp 3 Storage Charge.2,Comp 4 Storage Charge.2,Average Charge.1,Our Storage vs Comp Storage.2,Remarks.2,Occupied Units.18,Occupied Units.19,Occupied Units.20
y40210,AB,Royal View,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,0,,,,,0.0,,No Storage Lockers ,,,
y40230,AB,Lakeview Mews,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,0,50,,,,50.0,,No Storage Lockers- mayfair place $50/month,,,
y64170,AB,Discovery Pointe,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,0,,,,,0.0,,No Storage Lockers ,,,
y40911,AB,Elata,121.129032258065,475.0,3.9214380825565756,119.821428571429,475.0,3.964232488822639,122.161290322581,450.0,3.683654607869015,122.733333333333,475.0,3.870179250407398,122.354838709677,425.0,3.473503822831544,125.733333333333,425.0,3.3801696712619393,123.806451612903,425.0,3.4327774882751494,121.0,425.0,3.512396694214876,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,25,20,,,,20.0,,Storage available in Glenmore Gardens,,,
y41580,AB,Glenmore Heights,233.387096774194,245.0,1.0497581202487887,234.0,245.0,1.047008547008547,231.161290322581,260.0,1.1247557912363924,229.1,245.0,1.0694020078568311,233.645161290323,245.0,1.048598646969486,232.466666666667,225.0,0.967880699741897,228.032258064516,225.0,0.9867025038902255,228.129032258065,225.0,0.9862839366515816,169.0,45.0,0.26627218934911245,,20,15.0,,,,15.0,5.0,Others do not have storage lockers,,51.0,,49.0,49.0,45.0,45.0,45.0,46.0,47.0,20,15.0,,,,15.0,5.0,Others do not have storage lockers,,20,15,15,0,0,7.5,,,47.0,45.0,44.0
y40910,AB,Glenmore Gardens,304.258064516129,952.87,3.1317822307039864,303.285714285714,970.0,3.198304286387191,303.806451612903,907.5,2.9870991717986857,303.066666666667,1016.67,3.354608446986358,303.612903225806,720.0,2.371440713982154,299.7,945.0,3.1531531531531534,297.290322580645,895.0,3.0105251736111125,299.0,895.0,2.9933110367892977,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,25,,,,,0.0,,,,,
y40960,AB,Rouleau,217.064516129032,1616.59,7.447509288155752,210.75,1534.1,7.2792408066429415,209.612903225806,1609.54,7.678630347799339,210.266666666667,1532.52,7.288459099556108,209.774193548387,1565.0,7.460402890973401,210.433333333333,1565.0,7.43703469032157,211.548387096774,1530.0,7.232387923147307,214.161290322581,1530.0,7.144148215092622,48.0,45.0,0.9375,,35,25.0,35.0,40,,33.333333333333336,1.6666666666666643,,,46.0,,44.0,47.0,45.0,45.0,45.0,46.0,48.0,35,25.0,35.0,40,,33.333333333333336,1.6666666666666643,,,,50,40,0,60,37.5,,,48.0,48.0,47.0
y40940,AB,The Mansions,48.0,525.0,10.9375,48.9285714285714,525.0,10.729927007299276,47.0,455.0,9.680851063829786,47.9333333333333,455.0,9.492350486787211,47.2903225806452,420.0,8.881309686221002,47.6333333333333,414.35,8.698740377886642,50.4838709677419,525.0,10.399361022364225,50.258064516129,525.0,10.446084724005143,51.0,46.0,0.9019607843137255,,35,25.0,35.0,40,,33.333333333333336,1.6666666666666643,,,21.0,,21.0,23.0,23.0,23.0,24.0,23.0,23.0,35,25.0,35.0,40,,33.333333333333336,1.6666666666666643,,,35,25,35-50,0,0,8.333333333333334,,,23.0,23.0,19.0
y64180,AB,Calgary Place,512.129032258065,55.6,0.10856638951877037,508.928571428571,150.0,0.2947368421052634,512.58064516129,160.0,0.3121460037759599,514.966666666667,195.0,0.37866528577901454,516.645161290323,210.0,0.4064685314685311,524.766666666667,210.0,0.4001778568252554,517.290322580645,180.0,0.3479670740833126,513.064516129032,180.0,0.35083307136120734,293.0,,0.0,,35,,,,,0.0,35.0," 91 Bike stalls at $15.00, occupied stalls unknown",,7.0,,6.0,6.0,7.0,7.0,7.0,7.0,7.0,35,,,,,0.0,35.0," 91 Bike stalls at $15.00, occupied stalls unknown",,,,,,,0.0,,located in the basement of each tower ,7.0,7.0,7.0
y41491,AB,Sodo,278.193548387097,1325.0,4.762871057513911,279.5,1368.08,4.89474060822898,276.0,1225.0,4.438405797101449,275.8,1138.97,4.129695431472081,267.58064516129,1091.12,4.077723930078364,263.166666666667,1101.49,4.185522482583909,269.387096774194,998.31,3.705856783618722,268.0,998.31,3.7250373134328356,191.0,,0.0,,,,,,,0.0,0.0,,,28.0,,26.0,36.0,39.0,39.0,41.0,42.0,43.0,,,,,,0.0,0.0,,,25,75,0,0,50,31.25,,P1 & P2,43.0,43.0,52.0
y41590,AB,Park Square,131.0,301.0,2.2977099236641223,127.214285714286,200.0,1.5721504772599626,129.290322580645,200.0,1.5469061876247523,136.933333333333,200.0,1.460564751703996,133.612903225806,200.0,1.496861419604061,137.2,200.0,1.457725947521866,144.0,175.0,1.2152777777777777,146.387096774194,175.0,1.1954605553107058,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,
