Property Code,Optimal Prices (Storage)
y31201,33.0
y31202,27.5
y31251,55.0
y31300,27.5
y31600,27.5
y31602,33.0
y40210,0.0
y40230,0.0
y40790,55.0
y40910,0.0
y40911,0.0
y40940,38.5
y40960,38.5
y41491,27.5
y41580,22.0
y50121,0.0
y50670,0.0
y50680,55.0
y52950,44.0
y53000,0.0
y53590,0.0
y53600,0.0
y53620,27.5
y53630,0.0
y53640,33.0
y53650,27.5
y53660,0.0
y55265,0.0
y55270,0.0
y55275,44.0
y63060,22.0
y63070,0.0
y63075,0.0
y63130,33.0
y63135,55.0
y64170,0.0
y64180,38.5
y65160,27.5
y65165,27.5
y65225,44.0
