Property Code,Total Units (2022Jul) (Indoor Parking),Occupied (2022Jul) (Indoor Parking),Percentage (2022Jul) (Indoor Parking),New Lease (2022Jul) (Indoor Parking),Ending Lease (2022Jul) (Indoor Parking),Price (2022Jul) (Indoor Parking),Property Code,Total Units (2022Aug) (Indoor Parking),Occupied (2022Aug) (Indoor Parking),Percentage (2022Aug) (Indoor Parking),New Lease (2022Aug) (Indoor Parking),Ending Lease (2022Aug) (Indoor Parking),Price (2022Aug) (Indoor Parking),Property Code,Total Units (2022Sep) (Indoor Parking),Occupied (2022Sep) (Indoor Parking),Percentage (2022Sep) (Indoor Parking),New Lease (2022Sep) (Indoor Parking),Ending Lease (2022Sep) (Indoor Parking),Price (2022Sep) (Indoor Parking),Property Code,Total Units (2022Oct) (Indoor Parking),Occupied (2022Oct) (Indoor Parking),Percentage (2022Oct) (Indoor Parking),New Lease (2022Oct) (Indoor Parking),Ending Lease (2022Oct) (Indoor Parking),Price (2022Oct) (Indoor Parking),Property Code,Total Units (2022Dec) (Indoor Parking),Occupied (2022Dec) (Indoor Parking),Percentage (2022Dec) (Indoor Parking),New Lease (2022Dec) (Indoor Parking),Ending Lease (2022Dec) (Indoor Parking),Price (2022Dec) (Indoor Parking),Property Code,Total Units (2023Apr) (Indoor Parking),Occupied (2023Apr) (Indoor Parking),Percentage (2023Apr) (Indoor Parking),New Lease (2023Apr) (Indoor Parking),Ending Lease (2023Apr) (Indoor Parking),Price (2023Apr) (Indoor Parking),Property Code,Total Units (2023May) (Indoor Parking),Occupied (2023May) (Indoor Parking),Percentage (2023May) (Indoor Parking),New Lease (2023May) (Indoor Parking),Ending Lease (2023May) (Indoor Parking),Price (2023May) (Indoor Parking)
y31201,48.0,28.0,58.33,2.0,0.0,75.0,y31201,48.0,25.0,52.08,2.0,23.0,75.0,y31201,48.0,24.0,50.0,0.0,25.0,75.0,y31201,48.0,25.0,52.08,0.0,38.0,75.0,y31201,48.0,26.0,54.17,1.0,25.0,75.0,y31201,48.0,27.0,56.25,0.0,24.0,75.0,y31201,48.0,26.0,54.17,0.0,24.0,75.0
y31202,31.0,31.0,100.0,1.0,3.0,85.0,y31202,31.0,31.0,100.0,0.0,4.0,85.0,y31202,31.0,31.0,100.0,0.0,4.0,85.0,y31202,31.0,31.0,100.0,1.0,17.0,85.0,y31202,31.0,31.0,100.0,2.0,2.0,85.0,y31202,31.0,30.0,96.77,0.0,4.0,85.0,y31202,31.0,30.0,96.77,0.0,3.0,85.0
y31251,82.0,55.0,67.07,1.0,3.0,110.0,y31251,82.0,48.0,58.54,0.0,40.0,110.0,y31251,82.0,51.0,62.2,0.0,38.0,110.0,y31251,82.0,51.0,62.2,0.0,57.0,110.0,y31251,82.0,55.0,67.07,2.0,32.0,110.0,y31251,82.0,61.0,74.39,0.0,29.0,110.0,y31251,82.0,59.0,71.95,2.0,31.0,110.0
y31300,233.0,172.0,73.82,8.0,7.0,135.0,y31300,233.0,168.0,72.1,4.0,76.0,135.0,y31300,233.0,166.0,71.24,6.0,80.0,135.0,y31300,233.0,170.0,72.96,2.0,158.0,135.0,y31300,233.0,169.0,72.53,3.0,85.0,135.0,y31300,239.0,173.0,72.38,3.0,92.0,135.0,y31300,239.0,165.0,69.04,2.0,90.0,135.0
y31600,172.0,143.0,83.14,1.0,4.0,75.0,y31600,173.0,144.0,83.24,2.0,35.0,75.0,y31600,173.0,140.0,80.92,5.0,39.0,75.0,y31600,173.0,143.0,82.66,7.0,40.0,75.0,y31600,175.0,143.0,81.71,3.0,137.0,75.0,y31600,176.0,136.0,77.27,3.0,52.0,75.0,y31600,176.0,140.0,79.55,5.0,53.0,75.0
y31602,151.0,125.0,82.78,6.0,0.0,75.0,y31602,152.0,122.0,80.26,2.0,31.0,75.0,y31602,152.0,121.0,79.61,0.0,71.0,75.0,y31602,152.0,136.0,89.47,8.0,75.0,75.0,y31602,147.0,132.0,89.8,3.0,41.0,75.0,y31602,147.0,139.0,94.56,0.0,31.0,75.0,y31602,147.0,139.0,94.56,4.0,15.0,75.0
y40210,92.0,87.0,94.57,9.0,18.0,95.0,y40210,91.0,83.0,91.21,4.0,22.0,95.0,y40210,91.0,87.0,95.6,1.0,13.0,95.0,y40210,91.0,89.0,97.8,13.0,11.0,95.0,y40210,91.0,88.0,96.7,8.0,12.0,95.0,y40210,91.0,87.0,95.6,2.0,25.0,95.0,y40210,93.0,86.0,92.47,3.0,32.0,95.0
y40230,0.0,0.0,0.0,0.0,0.0,0.0,y40230,0.0,0.0,0.0,0.0,0.0,0.0,y40230,0.0,0.0,0.0,0.0,0.0,0.0,y40230,0.0,0.0,0.0,0.0,0.0,0.0,y40230,0.0,0.0,0.0,0.0,0.0,0.0,y40230,0.0,0.0,0.0,0.0,0.0,0.0,y40230,0.0,0.0,0.0,0.0,0.0,0.0
y40790,169.0,120.0,71.01,11.0,29.0,140.0,y40790,168.0,110.0,65.48,2.0,76.0,140.0,y40790,168.0,107.0,63.69,1.0,76.0,140.0,y40790,168.0,110.0,65.48,20.0,78.0,140.0,y40790,168.0,113.0,67.26,8.0,74.0,140.0,y40790,168.0,111.0,66.07,3.0,90.0,140.0,y40790,172.0,107.0,62.21,8.0,88.0,140.0
y40910,382.0,163.0,42.67,12.0,42.0,75.0,y40910,382.0,155.0,40.58,0.0,259.0,75.0,y40910,382.0,165.0,43.19,2.0,235.0,75.0,y40910,382.0,175.0,45.81,9.0,224.0,75.0,y40910,382.0,189.0,49.48,21.0,224.0,75.0,y40910,382.0,199.0,52.09,1.0,241.0,75.0,y40910,382.0,187.0,48.95,15.0,234.0,75.0
