Property Code,Total Units (2022Jul) (Outdoor Parking),Occupied (2022Jul) (Outdoor Parking),Percentage (2022Jul) (Outdoor Parking),New Lease (2022Jul) (Outdoor Parking),Ending Lease (2022Jul) (Outdoor Parking),Price (2022Jul) (Outdoor Parking),Total Units (2022Aug) (Outdoor Parking),Occupied (2022Aug) (Outdoor Parking),Percentage (2022Aug) (Outdoor Parking),New Lease (2022Aug) (Outdoor Parking),Ending Lease (2022Aug) (Outdoor Parking),Price (2022Aug) (Outdoor Parking),Total Units (2022Sep) (Outdoor Parking),Occupied (2022Sep) (Outdoor Parking),Percentage (2022Sep) (Outdoor Parking),New Lease (2022Sep) (Outdoor Parking),Ending Lease (2022Sep) (Outdoor Parking),Price (2022Sep) (Outdoor Parking),Total Units (2022Oct) (Outdoor Parking),Occupied (2022Oct) (Outdoor Parking),Percentage (2022Oct) (Outdoor Parking),New Lease (2022Oct) (Outdoor Parking),Ending Lease (2022Oct) (Outdoor Parking),Price (2022Oct) (Outdoor Parking),Total Units (2022Dec) (Outdoor Parking),Occupied (2022Dec) (Outdoor Parking),Percentage (2022Dec) (Outdoor Parking),New Lease (2022Dec) (Outdoor Parking),Ending Lease (2022Dec) (Outdoor Parking),Price (2022Dec) (Outdoor Parking),Total Units (2023Apr) (Outdoor Parking),Occupied (2023Apr) (Outdoor Parking),Percentage (2023Apr) (Outdoor Parking),New Lease (2023Apr) (Outdoor Parking),Ending Lease (2023Apr) (Outdoor Parking),Price (2023Apr) (Outdoor Parking),Total Units (2023May) (Outdoor Parking),Occupied (2023May) (Outdoor Parking),Percentage (2023May) (Outdoor Parking),New Lease (2023May) (Outdoor Parking),Ending Lease (2023May) (Outdoor Parking),Price (2023May) (Outdoor Parking)
y31201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y40210,31.0,28.0,90.32,1.0,4.0,65.0,31.0,27.0,87.1,1.0,8.0,65.0,31.0,23.0,74.19,1.0,11.0,65.0,31.0,27.0,87.1,2.0,7.0,65.0,31.0,28.0,90.32,4.0,10.0,65.0,31.0,28.0,90.32,0.0,10.0,65.0,31.0,27.0,87.1,2.0,8.0,65.0
y40230,98.0,78.0,79.59,7.0,20.0,40.0,98.0,76.0,77.55,0.0,38.0,40.0,98.0,76.0,77.55,0.0,34.0,40.0,98.0,78.0,79.59,5.0,30.0,40.0,98.0,82.0,83.67,6.0,34.0,40.0,98.0,81.0,82.65,0.0,42.0,40.0,98.0,80.0,81.63,9.0,31.0,40.0
y40790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y40910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
